hour_of_day,season,day_of_week,"Comptador Campus Diagonal Sud 1 [kWh] [Sud 1 (ETSAB, EPSEB i FME)]",CS A,CS B,CS C,Electricitat Total,festiu
5,Autumn,Monday,126.45454545454545,27.462727272727275,1.3362727272727273,9.898363636363637,38.69736363636363,0.0
5,Autumn,Tuesday,131.76923076923077,26.909230769230767,0.5017692307692307,10.78053846153846,38.191538461538464,0.0
5,Autumn,Wednesday,131.25,27.261833333333332,0.6013333333333334,9.69975,37.562916666666666,0.0
5,Autumn,Thursday,132.75,29.869583333333335,0.29916666666666664,10.433916666666667,40.60266666666667,0.0
5,Autumn,Friday,129.92307692307693,28.586923076923078,1.2626923076923076,9.934846153846154,39.784461538461535,0.0
5,Spring,Monday,115.6,25.579,1.2864,10.193999999999999,37.0594,0.0
5,Spring,Tuesday,116.83333333333333,26.094166666666666,0.9944999999999999,9.0465,36.13516666666667,0.0
5,Spring,Wednesday,121.07692307692308,25.93769230769231,0.9243846153846156,10.814769230769231,37.67684615384615,0.0
5,Spring,Thursday,118.5,25.711166666666667,1.0300833333333332,9.673666666666668,36.41491666666666,0.0
5,Spring,Friday,118.16666666666667,25.754166666666666,2.0435,9.619666666666667,37.41733333333333,0.0
5,Summer,Monday,120.77777777777777,26.07166666666667,0.08055555555555555,9.140222222222222,35.29244444444444,0.0
5,Summer,Tuesday,126.25,27.045250000000003,2.0575,9.620375000000001,38.723125,0.0
5,Summer,Wednesday,131.875,26.1595,1.6624999999999999,10.806125,38.628125,0.0
5,Summer,Thursday,127.11111111111111,26.20711111111111,0.01411111111111111,8.553444444444445,34.77466666666667,0.0
5,Summer,Friday,126.88888888888889,25.04577777777778,0.022111111111111113,9.625555555555556,34.693444444444445,0.0
5,Vacation,Monday,98.16666666666667,19.927916666666665,0.8966666666666668,6.940583333333333,27.76516666666667,1.0
5,Vacation,Tuesday,99.44444444444444,20.21077777777778,0.029888888888888892,7.167222222222222,27.407888888888888,1.0
5,Vacation,Wednesday,105.9,20.0459,3.3230999999999993,8.3478,31.7168,1.0
5,Vacation,Thursday,103.0,19.4507,1.8715,8.5253,29.847500000000004,1.0
5,Vacation,Friday,97.625,18.722625,1.179,8.987625,28.88925,1.0
5,Winter,Monday,125.1,30.054399999999998,0.0788,17.7625,47.8957,0.0
5,Winter,Tuesday,128.4,30.7555,0.0371,17.441499999999998,48.2341,0.0
5,Winter,Wednesday,127.33333333333333,29.254111111111115,0.34877777777777774,17.88266666666667,47.48555555555556,0.0
5,Winter,Thursday,132.55555555555554,49.033,6.507666666666667,23.988444444444443,79.52911111111112,0.0
5,Winter,Friday,127.9,46.347300000000004,5.5682,22.124299999999998,74.0398,0.0
6,Autumn,Monday,198.1818181818182,39.601636363636366,15.788636363636364,14.11609090909091,69.50636363636363,0.0
6,Autumn,Tuesday,194.53846153846155,38.35107692307692,19.259615384615383,14.455615384615385,72.06630769230769,0.0
6,Autumn,Wednesday,205.0,37.96908333333334,15.45825,12.633249999999999,66.06058333333333,0.0
6,Autumn,Thursday,206.33333333333334,38.730916666666666,14.930749999999998,14.2585,67.92016666666667,0.0
6,Autumn,Friday,195.92307692307693,38.44746153846154,12.407307692307691,13.269692307692308,64.12446153846153,0.0
6,Spring,Monday,174.8,36.9166,1.3129,14.0743,52.3038,0.0
6,Spring,Tuesday,171.33333333333334,35.27583333333333,1.071,13.286333333333333,49.63316666666666,0.0
6,Spring,Wednesday,181.15384615384616,38.71484615384615,1.002230769230769,14.476461538461537,54.19353846153846,0.0
6,Spring,Thursday,184.25,41.85091666666667,1.10075,13.50175,56.45341666666667,0.0
6,Spring,Friday,176.5,38.945083333333336,2.128833333333333,13.570583333333333,54.6445,0.0
6,Summer,Monday,161.0,29.278111111111116,0.07833333333333332,10.113111111111111,39.46955555555556,0.0
6,Summer,Tuesday,169.125,30.532,2.328875,10.636375,43.49725,0.0
6,Summer,Wednesday,178.5,30.248375,1.7115,12.1755,44.135374999999996,0.0
6,Summer,Thursday,175.88888888888889,29.586444444444446,0.09677777777777778,9.979444444444445,39.66266666666667,0.0
6,Summer,Friday,176.22222222222223,28.323888888888888,0.13033333333333333,11.117222222222221,39.571444444444445,0.0
6,Vacation,Monday,115.5,25.044583333333335,1.6318333333333335,8.3925,35.06891666666667,1.0
6,Vacation,Tuesday,131.55555555555554,27.799333333333337,2.7476666666666665,10.186333333333332,40.733333333333334,1.0
6,Vacation,Wednesday,122.9,22.1017,5.910299999999999,10.4807,38.4927,1.0
6,Vacation,Thursday,130.0,25.19,5.643800000000001,10.6266,41.4604,1.0
6,Vacation,Friday,105.0,19.512249999999998,1.31825,9.302,30.1325,1.0
6,Winter,Monday,225.5,71.5976,4.1414,24.2982,100.03720000000001,0.0
6,Winter,Tuesday,225.1,66.8136,6.5146,24.5072,97.83539999999999,0.0
6,Winter,Wednesday,223.55555555555554,66.89533333333333,5.7715555555555556,24.221,96.88788888888888,0.0
6,Winter,Thursday,234.11111111111111,83.82344444444445,11.631222222222222,32.10177777777778,127.55644444444445,0.0
6,Winter,Friday,222.1,78.8994,13.4065,28.311,120.61690000000002,0.0
7,Autumn,Monday,309.54545454545456,51.57036363636364,34.414727272727276,26.344818181818184,112.32990909090908,0.0
7,Autumn,Tuesday,312.0769230769231,50.16676923076923,36.58307692307692,23.60630769230769,110.35615384615386,0.0
7,Autumn,Wednesday,315.0833333333333,46.294999999999995,34.59175,23.31266666666667,104.19941666666666,0.0
7,Autumn,Thursday,308.5833333333333,52.237833333333334,34.106249999999996,25.8075,112.15158333333333,0.0
7,Autumn,Friday,298.38461538461536,49.075923076923075,31.034461538461535,24.314999999999998,104.42538461538462,0.0
7,Spring,Monday,252.3,64.35130000000001,6.7904,23.8915,95.0332,0.0
7,Spring,Tuesday,240.33333333333334,53.771416666666674,6.955416666666667,23.009083333333333,83.73591666666667,0.0
7,Spring,Wednesday,249.15384615384616,59.83546153846154,8.458,24.182307692307692,92.47576923076923,0.0
7,Spring,Thursday,247.83333333333334,61.874249999999996,8.6915,25.099,95.66475000000001,0.0
7,Spring,Friday,244.75,58.955333333333336,8.516916666666665,24.923000000000002,92.39524999999999,0.0
7,Summer,Monday,266.44444444444446,37.217,8.094222222222221,16.734222222222222,62.04544444444444,0.0
7,Summer,Tuesday,286.25,39.05,8.2145,19.43125,66.69575,0.0
7,Summer,Wednesday,302.125,39.076125,8.327375,19.730999999999998,67.1345,0.0
7,Summer,Thursday,285.44444444444446,38.40577777777778,8.674444444444443,18.05077777777778,65.131,0.0
7,Summer,Friday,278.44444444444446,38.416111111111114,6.920888888888888,18.809888888888892,64.1468888888889,0.0
7,Vacation,Monday,149.0,29.780333333333335,6.929749999999999,9.993666666666668,46.70375000000001,1.0
7,Vacation,Tuesday,167.33333333333334,34.83711111111111,11.038000000000002,12.675222222222223,58.55033333333333,1.0
7,Vacation,Wednesday,147.2,24.8718,9.323,13.0442,47.239,1.0
7,Vacation,Thursday,159.2,28.7257,17.177500000000002,12.1824,58.0856,1.0
7,Vacation,Friday,117.5,20.925625,3.963,11.424624999999999,36.31325,1.0
7,Winter,Monday,354.1,108.84879999999998,41.7551,35.1117,185.7156,0.0
7,Winter,Tuesday,356.8,98.2899,39.4053,37.1452,174.8404,0.0
7,Winter,Wednesday,349.8888888888889,92.68655555555556,38.15244444444445,30.98788888888889,161.8268888888889,0.0
7,Winter,Thursday,357.22222222222223,110.24955555555556,40.470555555555556,40.40277777777778,191.1228888888889,0.0
7,Winter,Friday,340.4,105.8733,40.2406,37.1605,183.2744,0.0
8,Autumn,Monday,435.0,87.92390909090909,47.046454545454544,38.33672727272727,173.3070909090909,0.0
8,Autumn,Tuesday,440.0769230769231,85.58692307692307,47.261307692307696,37.295692307692306,170.14392307692307,0.0
8,Autumn,Wednesday,444.9166666666667,75.57575,46.919666666666664,38.10608333333333,160.6015,0.0
