Date,Aula,Humidity,Distance,min_humidity,max_humidity,Color
2023-01-01 10:00:00,A-56,51.0,0.3461538461538467,30,60,Comfort
2023-01-01 10:00:00,A-41,49.0,1.6538461538461533,30,60,Comfort
2023-01-01 10:00:00,A-44,49.0,1.6538461538461533,30,60,Comfort
2023-01-01 10:00:00,A-32,52.5,1.8461538461538467,30,60,Comfort
2023-01-01 10:00:00,A-33,48.0,2.6538461538461533,30,60,Comfort
2023-01-01 10:00:00,A-36,54.0,3.3461538461538467,30,60,Comfort
2023-01-01 11:00:00,A-62,51.0,0.1346153846153868,30,60,Comfort
2023-01-01 11:00:00,A-55,51.0,0.1346153846153868,30,60,Comfort
2023-01-01 11:00:00,A-11,52.5,1.3653846153846132,30,60,Comfort
2023-01-01 11:00:00,A-44,49.5,1.6346153846153868,30,60,Comfort
2023-01-01 11:00:00,A-41,49.5,1.6346153846153868,30,60,Comfort
2023-01-01 11:00:00,A-33,48.0,3.134615384615387,30,60,Comfort
2023-01-01 11:00:00,A-36,54.5,3.365384615384613,30,60,Comfort
2023-01-01 12:00:00,A-62,52.0,0.1153846153846132,30,60,Comfort
2023-01-01 12:00:00,A-55,52.0,0.1153846153846132,30,60,Comfort
2023-01-01 12:00:00,A-41,50.5,1.3846153846153868,30,60,Comfort
2023-01-01 12:00:00,A-11,53.5,1.6153846153846132,30,60,Comfort
2023-01-01 12:00:00,A-44,50.0,1.8846153846153868,30,60,Comfort
2023-01-01 12:00:00,A-33,48.0,3.884615384615387,30,60,Comfort
2023-01-01 12:00:00,A-36,56.0,4.115384615384613,30,60,Comfort
2023-01-01 13:00:00,A-55,52.5,0.1346153846153868,30,60,Comfort
2023-01-01 13:00:00,A-22,52.5,0.1346153846153868,30,60,Comfort
2023-01-01 13:00:00,A-56,54.0,1.3653846153846132,30,60,Comfort
2023-01-01 13:00:00,A-44,51.0,1.6346153846153868,30,60,Comfort
2023-01-01 13:00:00,A-11,55.0,2.365384615384613,30,60,Comfort
2023-01-01 13:00:00,A-36,57.0,4.365384615384613,30,60,Comfort
2023-01-01 13:00:00,A-33,48.0,4.634615384615387,30,60,Comfort
2023-01-01 14:00:00,A-62,53.5,0.019230769230766498,30,60,Comfort
2023-01-01 14:00:00,A-55,53.5,0.019230769230766498,30,60,Comfort
2023-01-01 14:00:00,A-61,55.0,1.5192307692307665,30,60,Comfort
2023-01-01 14:00:00,A-56,55.0,1.5192307692307665,30,60,Comfort
2023-01-01 14:00:00,A-11,56.5,3.0192307692307665,30,60,Comfort
2023-01-01 14:00:00,A-36,58.0,4.5192307692307665,30,60,Comfort
2023-01-01 14:00:00,A-33,48.0,5.4807692307692335,30,60,Comfort
2023-01-01 15:00:00,A-62,54.0,0.1153846153846132,30,60,Comfort
2023-01-01 15:00:00,A-55,54.0,0.1153846153846132,30,60,Comfort
2023-01-01 15:00:00,A-12,55.5,1.6153846153846132,30,60,Comfort
