,Aula,Month,Upper,Comfort,Lower
176,A-41,9,0.14,99.86,0
177,A-41,10,0.27,99.73,0
178,A-41,11,2.5,97.5,0
179,A-41,12,0.4,99.6,0
180,A-42,1,0.0,100.0,0
181,A-42,2,2.83,97.17,0
182,A-42,3,0.54,99.46,0
183,A-42,4,0.42,99.58,0
184,A-42,5,0.13,99.87,0
185,A-42,6,0.0,100.0,0
186,A-42,7,0.0,100.0,0
187,A-42,8,0.0,100.0,0
188,A-42,9,0.0,100.0,0
189,A-42,10,0.53,99.47,0
190,A-42,11,1.39,98.61,0
191,A-42,12,0.94,99.06,0
192,A-43,1,0.67,99.33,0
193,A-43,2,2.08,97.92,0
194,A-43,3,0.27,99.73,0
195,A-43,4,0.28,99.72,0
196,A-43,5,0.0,100.0,0
197,A-43,6,0.0,100.0,0
198,A-43,7,0.0,100.0,0
199,A-43,8,0.0,100.0,0
200,A-43,9,0.0,100.0,0
201,A-43,10,0.27,99.73,0
202,A-43,11,0.83,99.17,0
203,A-43,12,0.4,99.6,0
204,A-44,1,0.0,100.0,0
205,A-44,2,2.38,97.62,0
206,A-44,3,1.08,98.92,0
207,A-44,4,0.83,99.17,0
208,A-44,5,0.0,100.0,0
209,A-44,6,0.0,100.0,0
210,A-44,7,0.0,100.0,0
211,A-44,8,0.0,100.0,0
212,A-44,9,0.0,100.0,0
213,A-44,10,0.67,99.33,0
214,A-44,11,2.64,97.36,0
215,A-44,12,0.13,99.87,0
216,A-51,1,0.0,100.0,0
217,A-51,2,0.3,99.7,0
218,A-51,3,0.81,99.19,0
219,A-51,4,0.0,100.0,0
220,A-51,5,0.27,99.73,0
221,A-51,6,0.0,100.0,0
222,A-51,7,0.0,100.0,0
223,A-51,8,0.0,100.0,0
224,A-51,9,0.0,100.0,0
225,A-51,10,0.4,99.6,0
226,A-51,11,0.14,99.86,0
227,A-51,12,0.0,100.0,0
228,A-52,1,0.0,100.0,0
229,A-52,2,0.3,99.7,0
230,A-52,3,1.08,98.92,0
231,A-52,4,0.0,100.0,0
232,A-52,5,0.4,99.6,0
233,A-52,6,0.0,100.0,0
234,A-52,7,0.0,100.0,0
235,A-52,8,0.0,100.0,0
236,A-52,9,0.0,100.0,0
237,A-52,10,0.67,99.33,0
238,A-52,11,1.94,98.06,0
239,A-52,12,0.4,99.6,0
240,A-53,1,0.0,100.0,0
241,A-53,2,0.15,99.85,0
242,A-53,3,0.0,100.0,0
243,A-53,4,0.0,100.0,0
244,A-53,5,0.0,100.0,0
