Date,mean_monthly_temp
1,17.761995034348868
2,19.74719879850088
3,21.30660610139076
4,21.563938721707817
5,23.925687288430904
6,28.021632265946504
7,30.167472496017524
8,29.935216609418557
9,27.639348636831276
10,25.65633699975143
11,21.49530317644033
12,19.195795997610514
