,Aula,Temperature_Deviation,Humidity_Deviation,CO2_Deviation,Temperature_Quality,Humidity_Quality,CO2_Quality,Global_Quality,planta,posicio
0,A-11,0.8239256678281071,0.8317363530778166,7.704413472706155,0.1647851335656214,0.027724545102593885,0.007704413472706155,0.06673803071364048,1,1
1,A-12,0.9367160278745648,0.6646341463414634,5.869337979094077,0.18734320557491296,0.02215447154471545,0.005869337979094077,0.0717890050329075,1,2
2,A-13,1.0556620209059233,0.4952090592334495,13.603658536585366,0.21113240418118467,0.016506968641114984,0.013603658536585366,0.08041434378629501,1,3
3,A-14,1.162412891986063,0.44294425087108014,7.540940766550523,0.2324825783972126,0.014764808362369338,0.007540940766550522,0.08492944250871082,1,4
4,A-21,1.0283972125435543,0.6890243902439024,3.7661149825783973,0.20567944250871087,0.022967479674796745,0.003766114982578397,0.07747101238869535,2,1
5,A-22,1.2317944250871082,0.5644599303135889,5.41506968641115,0.24635888501742165,0.018815331010452963,0.00541506968641115,0.09019642857142858,2,2
6,A-23,1.1604529616724741,0.27264808362369336,9.890679442508711,0.23209059233449483,0.009088269454123112,0.009890679442508711,0.08368984707704223,2,3
7,A-24,1.270165505226481,0.36890243902439024,5.448606271777003,0.2540331010452962,0.012296747967479675,0.005448606271777004,0.09059281842818429,2,4
8,A-31,0.8116434378629502,0.7710511033681765,23.280923344947734,0.16232868757259006,0.025701703445605885,0.023280923344947736,0.07043710478771456,3,1
9,A-32,1.124201509872242,0.45150987224157957,9.598867595818815,0.2248403019744484,0.015050329074719319,0.009598867595818815,0.08316316621499552,3,2
10,A-33,1.2356707317073174,0.21515679442508712,10.763066202090592,0.2471341463414635,0.0071718931475029035,0.010763066202090592,0.08835636856368567,3,3
11,A-34,1.1337108013937287,0.4671893147502904,10.773954703832752,0.22674216027874575,0.015572977158343014,0.010773954703832751,0.0843630307136405,3,4
12,A-35,1.145180023228804,0.46965737514517997,12.24027293844367,0.22903600464576082,0.015655245838172665,0.01224027293844367,0.08564384114079238,3,5
13,A-36,1.5755662020905925,0.12645180023228805,14.564459930313589,0.3151132404181185,0.004215060007742935,0.014564459930313588,0.11129758678539166,3,6
14,A-41,0.8637630662020908,0.5008710801393729,3.0596689895470384,0.17275261324041816,0.01669570267131243,0.0030596689895470383,0.06416932830042588,4,1
15,A-42,0.8933943089430897,0.2703252032520325,1.8135888501742161,0.17867886178861794,0.009010840108401084,0.001813588850174216,0.06316776358239774,4,2
16,A-43,1.0837108013937284,0.1951219512195122,1.5840592334494774,0.21674216027874568,0.0065040650406504065,0.0015840592334494775,0.07494342818428186,4,3
17,A-44,0.972865853658537,0.45905923344947736,1.6711672473867596,0.19457317073170738,0.015301974448315912,0.0016711672473867596,0.07051543747580334,4,4
18,A-51,0.7862369337979096,0.7068815331010453,0.7695993031358885,0.15724738675958191,0.023562717770034842,0.0007695993031358885,0.06052656794425088,5,1
19,A-52,0.8320412311265972,0.6085946573751452,4.941202090592334,0.16640824622531944,0.020286488579171504,0.004941202090592334,0.06387864563169443,5,2
20,A-53,1.029021486643438,0.48519163763066203,0.7386759581881533,0.2058042973286876,0.016173054587688734,0.0007386759581881533,0.07423867595818816,5,3
21,A-54,0.9957897793263649,0.4484610917537747,0.6663763066202091,0.199157955865273,0.014948703058459157,0.000666376306620209,0.07159101174345078,5,4
22,A-55,0.9453106852497101,0.3288327526132404,0.6986062717770035,0.18906213704994201,0.01096109175377468,0.0006986062717770035,0.0669072783584979,5,5
23,A-56,0.9378484320557494,0.30429732868757264,0.32273519163763065,0.18756968641114988,0.010143244289585756,0.00032273519163763067,0.06601188863079109,5,6
24,A-61,0.858638211382114,0.697444831591173,5.224303135888502,0.17172764227642281,0.0232481610530391,0.005224303135888502,0.06673336882178348,6,1
25,A-62,0.8762195121951222,0.4991289198606272,1.1040940766550522,0.17524390243902443,0.016637630662020907,0.0011040940766550522,0.06432854239256679,6,2
