,Aula,Month,Lower,Upper,Comfort
150,A-35,7,0.0,100.0,0.0
151,A-35,8,0.0,100.0,0.0
152,A-35,9,0.0,100.0,0.0
153,A-35,10,0.0,67.91,32.09
154,A-35,11,0.83,0.42,98.75
155,A-35,12,60.75,0.0,39.25
156,A-36,1,100.0,0.0,0.0
157,A-36,2,81.1,0.0,18.900000000000006
158,A-36,3,21.94,0.0,78.06
159,A-36,4,11.94,4.58,83.48
160,A-36,5,0.0,23.92,76.08
161,A-36,6,0.0,98.33,1.6700000000000017
162,A-36,7,0.0,100.0,0.0
163,A-36,8,0.0,100.0,0.0
164,A-36,9,0.0,100.0,0.0
165,A-36,10,0.0,61.38,38.62
166,A-36,11,17.36,0.14,82.5
167,A-36,12,83.87,0.0,16.129999999999995
168,A-41,1,87.23,0.0,12.769999999999996
169,A-41,2,42.11,0.0,57.89
170,A-41,3,14.13,0.0,85.87
171,A-41,4,10.14,1.67,88.19
172,A-41,5,0.0,23.39,76.61
173,A-41,6,0.0,100.0,0.0
174,A-41,7,0.0,100.0,0.0
175,A-41,8,0.0,100.0,0.0
176,A-41,9,0.0,100.0,0.0
177,A-41,10,0.0,59.52,40.48
178,A-41,11,3.06,0.0,96.94
179,A-41,12,54.3,0.0,45.7
180,A-42,1,83.74,0.0,16.260000000000005
181,A-42,2,39.14,0.0,60.86
182,A-42,3,11.31,0.0,88.69
183,A-42,4,10.42,5.0,84.58
184,A-42,5,0.0,24.87,75.13
185,A-42,6,0.0,99.86,0.14000000000000057
186,A-42,7,0.0,100.0,0.0
187,A-42,8,0.0,100.0,0.0
188,A-42,9,0.0,100.0,0.0
189,A-42,10,0.0,61.12,38.88
190,A-42,11,3.75,0.0,96.25
191,A-42,12,58.6,0.0,41.4
192,A-43,1,99.19,0.0,0.8100000000000023
193,A-43,2,61.01,0.0,38.99
194,A-43,3,18.03,0.0,81.97
195,A-43,4,13.75,1.67,84.58
196,A-43,5,0.0,12.23,87.77
197,A-43,6,0.0,100.0,0.0
198,A-43,7,0.0,100.0,0.0
199,A-43,8,0.0,100.0,0.0
200,A-43,9,0.0,100.0,0.0
201,A-43,10,0.0,62.45,37.55
202,A-43,11,5.0,0.0,95.0
203,A-43,12,69.22,0.0,30.78
204,A-44,1,88.44,0.0,11.560000000000002
205,A-44,2,43.3,0.0,56.7
206,A-44,3,14.4,0.0,85.6
207,A-44,4,6.94,2.64,90.42
208,A-44,5,0.0,27.28,72.72
209,A-44,6,0.0,100.0,0.0
210,A-44,7,0.0,100.0,0.0
211,A-44,8,0.0,100.0,0.0
212,A-44,9,0.0,100.0,0.0
213,A-44,10,0.0,64.45,35.55
214,A-44,11,1.94,0.0,98.06
215,A-44,12,64.92,0.0,35.08
216,A-51,1,81.99,0.0,18.010000000000005
217,A-51,2,38.24,0.0,61.76
218,A-51,3,9.02,0.0,90.98
219,A-51,4,7.78,2.64,89.58
220,A-51,5,0.0,24.87,75.13
221,A-51,6,0.0,99.31,0.6899999999999977
222,A-51,7,0.0,100.0,0.0
223,A-51,8,0.0,100.0,0.0
224,A-51,9,0.0,100.0,0.0
225,A-51,10,0.0,54.73,45.27
226,A-51,11,10.56,0.0,89.44
227,A-51,12,54.03,0.0,45.97
228,A-52,1,81.59,0.0,18.409999999999997
229,A-52,2,37.05,0.0,62.95
230,A-52,3,9.29,0.0,90.71000000000001
231,A-52,4,5.42,3.19,91.39
232,A-52,5,0.0,26.75,73.25
233,A-52,6,0.0,99.86,0.14000000000000057
234,A-52,7,0.0,100.0,0.0
235,A-52,8,0.0,100.0,0.0
236,A-52,9,0.0,100.0,0.0
237,A-52,10,0.0,57.39,42.61
238,A-52,11,7.92,0.14,91.94
239,A-52,12,55.91,0.0,44.09
240,A-53,1,98.12,0.0,1.8799999999999955
241,A-53,2,45.54,0.0,54.46
242,A-53,3,15.88,0.0,84.12
243,A-53,4,0.97,5.83,93.2
244,A-53,5,0.0,37.37,62.63
245,A-53,6,0.0,100.0,0.0
246,A-53,7,0.0,100.0,0.0
247,A-53,8,0.0,100.0,0.0
248,A-53,9,0.0,100.0,0.0
249,A-53,10,0.0,63.38,36.62
250,A-53,11,11.67,0.0,88.33
251,A-53,12,71.51,0.0,28.489999999999995
252,A-54,1,97.45,0.0,2.549999999999997
253,A-54,2,44.79,0.0,55.21
254,A-54,3,12.79,0.0,87.21000000000001
255,A-54,4,3.06,2.78,94.16
256,A-54,5,0.0,24.46,75.53999999999999
257,A-54,6,0.0,100.0,0.0
258,A-54,7,0.0,100.0,0.0
259,A-54,8,0.0,100.0,0.0
260,A-54,9,0.0,100.0,0.0
261,A-54,10,0.0,62.72,37.28
262,A-54,11,16.39,0.0,83.61
263,A-54,12,73.92,0.0,26.08
264,A-55,1,92.34,0.0,7.659999999999997
265,A-55,2,43.01,0.0,56.99
266,A-55,3,12.11,0.0,87.89
267,A-55,4,8.61,3.19,88.2
268,A-55,5,0.0,23.52,76.48
269,A-55,6,0.0,99.58,0.4200000000000017
270,A-55,7,0.0,100.0,0.0
271,A-55,8,0.0,100.0,0.0
272,A-55,9,0.0,100.0,0.0
273,A-55,10,0.0,59.52,40.48
274,A-55,11,15.14,0.0,84.86
275,A-55,12,68.28,0.0,31.72
276,A-56,1,93.28,0.0,6.719999999999999
277,A-56,2,48.36,0.0,51.64
278,A-56,3,15.75,0.0,84.25
279,A-56,4,11.53,1.94,86.53
280,A-56,5,0.0,18.15,81.85
281,A-56,6,0.0,99.17,0.8299999999999983
282,A-56,7,0.0,100.0,0.0
283,A-56,8,0.0,100.0,0.0
284,A-56,9,0.0,100.0,0.0
285,A-56,10,0.0,56.72,43.28
286,A-56,11,18.47,0.0,81.53
287,A-56,12,74.19,0.0,25.810000000000002
288,A-61,1,82.53,0.0,17.47
289,A-61,2,41.22,0.0,58.78
290,A-61,3,10.36,0.13,89.51
291,A-61,4,10.14,3.61,86.25
292,A-61,5,0.0,18.82,81.18
293,A-61,6,0.0,95.69,4.310000000000002
294,A-61,7,0.0,100.0,0.0
295,A-61,8,0.0,100.0,0.0
296,A-61,9,0.0,100.0,0.0
297,A-61,10,0.0,57.79,42.21
298,A-61,11,8.61,0.56,90.83
299,A-61,12,49.46,0.67,49.87
300,A-62,1,87.63,0.0,12.370000000000005
301,A-62,2,40.18,0.0,59.82
302,A-62,3,13.59,0.0,86.41
303,A-62,4,22.92,0.0,77.08
304,A-62,5,0.0,6.05,93.95
305,A-62,6,0.0,95.83,4.170000000000002
306,A-62,7,0.0,100.0,0.0
307,A-62,8,0.0,100.0,0.0
308,A-62,9,0.0,100.0,0.0
309,A-62,10,0.0,58.06,41.94
310,A-62,11,12.78,0.0,87.22
311,A-62,12,56.59,0.0,43.41
